AdminAccounts	AdminLevel	AdminSkill	AdminComment	AdminComment2	AdminIpBlocks	AdminIpComment	AdminSuid	OldAdminSuid
s	i{0}	s	c	c	s	c	i{0}	i{0}
polsommer	50	admin		all account names must be lower case		main admin account	1	
nickwill86	50	admin		all account names must be lower case		main gm account	2	
gtolwyn	50	admin		all account names must be lower case		main gm account	3	
qa-vicrum	50	admin		all account names must be lower case		main gm account	4	
ewoog	50	admin		all account names must be lower case		main gm account	5	
ewoog2	30	admin		all account names must be lower case		main gm account	6	
